GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
djunior,iterator,FlatMap,41,39,2,6,9,10,2,6,1,3
djunior,iterator,MatrixIt,9,85,1,13,2,13,1,9,0,3
djunior,iterator,BackwardArrayIt,0,41,0,4,0,9,0,5,0,3
djunior,Set,SimpleSet,5,44,1,5,2,13,2,5,1,3
djunior,io.duplicateFile,DuplicatesVisitor,30,0,2,0,5,0,3,0,2,0
djunior,io.duplicateFile,DuplicatesFinder,15,0,0,0,3,0,2,0,2,0
djunior,io.duplicateFile.model,FileProperty,71,0,10,0,15,0,12,0,7,0
djunior,io,PrintFiles,15,0,0,0,6,0,5,0,5,0
djunior,io,Search,36,0,0,0,7,0,4,0,4,0
djunior,io,Analizy,22,84,1,13,9,21,2,8,1,2
djunior,io,ResultFile,41,0,4,0,10,0,4,0,2,0
djunior,io,Dir,74,0,6,0,10,0,5,0,2,0
djunior,io,SearchFiles,37,0,2,0,12,0,7,0,6,0
djunior,io,LogFile,94,0,6,0,27,0,7,0,4,0
djunior,io,EvenNumberFile,42,0,6,0,13,0,5,0,2,0
djunior,io,Config,39,64,2,6,11,15,4,5,2,3
djunior,tree,SimpleTree,1,98,2,10,0,22,2,11,0,7
djunior,tree,Tree.Node,0,11,0,0,0,4,0,1,0,1
djunior,list,ListUtils,3,98,4,16,1,34,5,11,1,5
djunior,list,SimpleLinkedList,0,67,0,4,0,19,0,6,0,4
djunior,list,ForwardLinked.new Iterator() {...},0,36,0,4,0,8,0,5,0,3
djunior,list,SimpleQueue,0,65,0,4,0,15,0,5,0,3
djunior,list,SimpleArrayList.new Iterator() {...},0,53,0,6,0,9,0,6,0,3
djunior,list,SimpleLinkedList.Node,0,12,0,0,0,5,0,1,0,1
djunior,list,ForwardLinked,4,109,1,11,1,36,1,12,0,7
djunior,list,SimpleStack,0,17,0,0,0,5,0,3,0,3
djunior,list,SimpleLinkedList.new Iterator() {...},8,43,2,4,2,9,2,4,0,3
djunior,list,SimpleArrayList,0,140,0,4,0,29,0,10,0,8
djunior,list,ForwardLinked.Node,0,9,0,0,0,4,0,1,0,1
djunior,map,SimpleMap,26,193,4,12,5,40,4,12,0,8
djunior,map,SimpleMap.MapEntry,0,9,0,0,0,4,0,1,0,1
djunior,map,SimpleMap.new Iterator() {...},0,76,0,10,0,11,0,8,0,3
